epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.662,1.29358,1.42219,1.44332,0.86688,0.81902,0.89124,0.64656,1.09379,0.72362,1.21531,0.00332103,0.00332103,0.00332103
2,351.58,1.18563,1.06883,1.32412,0.73763,0.57335,0.64772,0.43962,1.32726,1.58974,1.41707,0.00657202,0.00657202,0.00657202
3,523.969,1.20763,1.07142,1.3255,0.74731,0.67078,0.75696,0.50717,1.30196,1.27945,1.37101,0.0097405,0.0097405,0.0097405
4,697.71,1.23283,1.11786,1.33736,0.83591,0.70894,0.80438,0.58149,1.08424,0.9464,1.26402,0.00962875,0.00962875,0.00962875
5,869.795,1.18724,1.05565,1.31052,0.80053,0.81807,0.86159,0.61853,1.06728,0.80834,1.24041,0.009505,0.009505,0.009505
6,1042.36,1.15598,1.00329,1.29191,0.84684,0.80161,0.87577,0.64969,1.049,0.77305,1.22793,0.00938125,0.00938125,0.00938125
7,1214.79,1.14045,0.96496,1.27572,0.81629,0.82535,0.88048,0.64584,1.05158,0.78784,1.23923,0.0092575,0.0092575,0.0092575
8,1386.49,1.11441,0.92853,1.25576,0.86557,0.86399,0.90607,0.67825,1.01492,0.69462,1.17502,0.00913375,0.00913375,0.00913375
9,1558.86,1.08647,0.88536,1.24002,0.87969,0.86391,0.92585,0.70344,0.94844,0.62913,1.148,0.00901,0.00901,0.00901
10,1731.29,1.07358,0.86977,1.23295,0.9017,0.89859,0.93936,0.72841,0.92809,0.57684,1.1397,0.00888625,0.00888625,0.00888625
11,1903.99,1.04511,0.83408,1.21712,0.90649,0.88099,0.93856,0.71448,0.95636,0.61099,1.16321,0.0087625,0.0087625,0.0087625
12,2076.94,1.037,0.82885,1.20843,0.89983,0.92142,0.94787,0.73822,0.90776,0.54809,1.11015,0.00863875,0.00863875,0.00863875
13,2249.13,1.02927,0.81349,1.20847,0.87439,0.88899,0.92542,0.7186,0.93834,0.60357,1.12082,0.008515,0.008515,0.008515
14,2421.12,1.01184,0.79407,1.19483,0.92109,0.92033,0.94807,0.7486,0.89987,0.5114,1.09808,0.00839125,0.00839125,0.00839125
15,2593.42,1.00443,0.77637,1.18804,0.9117,0.93027,0.9585,0.76981,0.86442,0.50098,1.09397,0.0082675,0.0082675,0.0082675
16,2765.45,0.9941,0.76664,1.18788,0.88658,0.93443,0.95378,0.75375,0.87356,0.51579,1.09219,0.00814375,0.00814375,0.00814375
17,2937.88,0.9801,0.74872,1.17498,0.91201,0.93033,0.95913,0.76004,0.88144,0.4976,1.0882,0.00802,0.00802,0.00802
18,3110.33,0.97817,0.7484,1.17556,0.90356,0.92025,0.954,0.76383,0.86751,0.52322,1.08667,0.00789625,0.00789625,0.00789625
19,3281.97,0.97747,0.7333,1.17275,0.93086,0.91415,0.96153,0.77414,0.85168,0.4948,1.07886,0.0077725,0.0077725,0.0077725
20,3453.66,0.96115,0.71657,1.16098,0.91395,0.93688,0.966,0.78744,0.82269,0.46384,1.06444,0.00764875,0.00764875,0.00764875
21,3625.76,0.95451,0.71226,1.15726,0.91562,0.9408,0.9614,0.78769,0.82256,0.47138,1.0593,0.007525,0.007525,0.007525
22,3797.74,0.95251,0.7049,1.15647,0.91374,0.94643,0.96568,0.79088,0.81238,0.45144,1.05044,0.00740125,0.00740125,0.00740125
23,3970.43,0.93784,0.69311,1.14805,0.91408,0.95246,0.9669,0.79335,0.81088,0.44621,1.04332,0.0072775,0.0072775,0.0072775
24,4142.57,0.93982,0.68851,1.15026,0.93271,0.93452,0.96249,0.79945,0.79003,0.44117,1.04336,0.00715375,0.00715375,0.00715375
25,4314.65,0.93448,0.67802,1.148,0.9353,0.95954,0.97123,0.80627,0.79369,0.42039,1.03995,0.00703,0.00703,0.00703
26,4486.21,0.92634,0.67389,1.14245,0.93596,0.95085,0.97055,0.80222,0.79726,0.42358,1.04154,0.00690625,0.00690625,0.00690625
27,4658.21,0.92328,0.66611,1.14246,0.93185,0.94439,0.96721,0.8043,0.79212,0.43818,1.04533,0.0067825,0.0067825,0.0067825
28,4830.69,0.90982,0.66222,1.1334,0.93677,0.94597,0.96728,0.80594,0.79007,0.4248,1.04085,0.00665875,0.00665875,0.00665875
29,5002.62,0.90687,0.65188,1.13096,0.93774,0.94954,0.97015,0.81238,0.77776,0.40979,1.032,0.006535,0.006535,0.006535
30,5175.08,0.90367,0.65122,1.13181,0.93507,0.95621,0.97253,0.81141,0.77423,0.40756,1.03024,0.00641125,0.00641125,0.00641125
31,5347.62,0.90321,0.64663,1.13038,0.9402,0.94873,0.9682,0.80368,0.77646,0.41398,1.04034,0.0062875,0.0062875,0.0062875
32,5520.34,0.89421,0.6301,1.12458,0.94538,0.93072,0.97005,0.81329,0.769,0.41405,1.03136,0.00616375,0.00616375,0.00616375
33,5692.68,0.89037,0.62945,1.11942,0.94516,0.94737,0.97274,0.82093,0.7662,0.39693,1.02218,0.00604,0.00604,0.00604
34,5865.31,0.88579,0.6226,1.11814,0.94395,0.94917,0.97286,0.81742,0.76609,0.4003,1.02231,0.00591625,0.00591625,0.00591625
35,6038.16,0.88106,0.61884,1.1162,0.93844,0.95411,0.97562,0.81925,0.76446,0.39413,1.02285,0.0057925,0.0057925,0.0057925
36,6209.73,0.87438,0.61211,1.11158,0.93299,0.96071,0.97168,0.82096,0.75404,0.40125,1.01683,0.00566875,0.00566875,0.00566875
37,6381.16,0.87296,0.61269,1.11012,0.94793,0.95236,0.97604,0.8241,0.75911,0.38755,1.02126,0.005545,0.005545,0.005545
38,6554.11,0.86393,0.59738,1.10615,0.94329,0.95665,0.97464,0.82822,0.75905,0.38222,1.01869,0.00542125,0.00542125,0.00542125
39,6726.46,0.86153,0.59881,1.1046,0.93787,0.95527,0.97483,0.82979,0.75291,0.38361,1.01586,0.0052975,0.0052975,0.0052975
40,6899.04,0.85599,0.59215,1.10321,0.94711,0.94682,0.97348,0.82821,0.75366,0.38041,1.0148,0.00517375,0.00517375,0.00517375
41,7072.23,0.85514,0.58758,1.1028,0.93997,0.96198,0.97468,0.82952,0.74525,0.38001,1.01099,0.00505,0.00505,0.00505
42,7245.01,0.84891,0.58383,1.09963,0.94326,0.95786,0.9737,0.83076,0.74075,0.37551,1.00828,0.00492625,0.00492625,0.00492625
43,7418.3,0.8457,0.58096,1.09323,0.94686,0.95406,0.97643,0.83195,0.74147,0.37217,1.01077,0.0048025,0.0048025,0.0048025
44,7591.26,0.84226,0.57625,1.09221,0.94868,0.95759,0.97732,0.83431,0.7417,0.36906,1.01143,0.00467875,0.00467875,0.00467875
45,7764.15,0.84027,0.56827,1.08983,0.94528,0.95293,0.97803,0.83367,0.74102,0.36742,1.01146,0.004555,0.004555,0.004555
46,7936.99,0.83294,0.56036,1.08869,0.9505,0.95062,0.97905,0.83432,0.73745,0.36868,1.00975,0.00443125,0.00443125,0.00443125
47,8110.19,0.82766,0.56192,1.08467,0.94527,0.96349,0.97866,0.83426,0.73909,0.36644,1.01107,0.0043075,0.0043075,0.0043075
48,8282.47,0.82602,0.55512,1.08507,0.94667,0.96071,0.97902,0.83396,0.73893,0.36483,1.00804,0.00418375,0.00418375,0.00418375
49,8454.66,0.82211,0.55513,1.08008,0.94561,0.96351,0.97933,0.8371,0.7388,0.36089,1.01067,0.00406,0.00406,0.00406
50,8626.66,0.81281,0.54046,1.07658,0.94791,0.95626,0.97893,0.83942,0.73758,0.36024,1.01019,0.00393625,0.00393625,0.00393625
51,8799.09,0.81208,0.54307,1.07931,0.95247,0.9565,0.97848,0.83969,0.73727,0.36006,1.0094,0.0038125,0.0038125,0.0038125
52,8972.18,0.80996,0.54243,1.07886,0.95887,0.95407,0.98057,0.83835,0.73744,0.36161,1.00901,0.00368875,0.00368875,0.00368875
53,9144.6,0.80468,0.53477,1.07279,0.95086,0.95691,0.97884,0.84082,0.73544,0.359,1.00641,0.003565,0.003565,0.003565
54,9317.41,0.8021,0.52812,1.07392,0.94985,0.96001,0.97837,0.84041,0.7338,0.35813,1.00474,0.00344125,0.00344125,0.00344125
55,9489.9,0.79797,0.5329,1.07494,0.95066,0.96081,0.97787,0.83903,0.73306,0.35954,1.00532,0.0033175,0.0033175,0.0033175
56,9662.32,0.7939,0.5245,1.07102,0.94875,0.96024,0.97868,0.83994,0.73212,0.35672,1.00492,0.00319375,0.00319375,0.00319375
57,9835.02,0.78476,0.51385,1.06211,0.94942,0.96291,0.97891,0.83938,0.73143,0.35555,1.0042,0.00307,0.00307,0.00307
58,10007,0.78632,0.51268,1.06295,0.94842,0.96399,0.97914,0.84017,0.72998,0.35438,1.00294,0.00294625,0.00294625,0.00294625
59,10179.5,0.77416,0.50863,1.06117,0.94855,0.96485,0.97873,0.84087,0.72885,0.35522,1.00257,0.0028225,0.0028225,0.0028225
60,10352.3,0.77694,0.50839,1.06105,0.94868,0.96378,0.97865,0.84068,0.72822,0.3559,1.00235,0.00269875,0.00269875,0.00269875
61,10525.3,0.76809,0.49882,1.05688,0.95104,0.96181,0.97844,0.84182,0.72803,0.35633,1.00274,0.002575,0.002575,0.002575
62,10698,0.76477,0.49369,1.05593,0.95065,0.96278,0.97841,0.84255,0.72756,0.3565,1.00318,0.00245125,0.00245125,0.00245125
63,10870.8,0.76585,0.49251,1.05414,0.9508,0.96285,0.97836,0.84217,0.72716,0.35545,1.00318,0.0023275,0.0023275,0.0023275
64,11043,0.75905,0.48686,1.05081,0.95078,0.96292,0.97851,0.84291,0.72668,0.35364,1.00372,0.00220375,0.00220375,0.00220375
65,11215.4,0.75116,0.48386,1.04704,0.95112,0.96271,0.97852,0.84337,0.72633,0.35382,1.00358,0.00208,0.00208,0.00208
66,11387.7,0.74968,0.47809,1.04475,0.95141,0.96312,0.97855,0.84436,0.72622,0.35369,1.00379,0.00195625,0.00195625,0.00195625
67,11560.4,0.74537,0.47697,1.04627,0.95243,0.96245,0.97878,0.84507,0.72632,0.35276,1.00409,0.0018325,0.0018325,0.0018325
68,11733,0.74139,0.47183,1.04504,0.95278,0.96329,0.97915,0.84514,0.72536,0.35278,1.00366,0.00170875,0.00170875,0.00170875
